ccode,year,cap,majpow,imports,exports,polity
   2,1816,0.039697,0,-9,-9,   9
 200,1816,0.336619,1,-9,-9,  -2
 210,1816,0.039914,0,-9,-9,  -6
 220,1816,0.117286,1,-9,-9,  -4
 225,1816,0.001808,0,-9,-9, -99
 230,1816,0.046393,0,-9,-9,  -9
 235,1816,0.010606,0,-9,-9, -66
 245,1816,0.007948,0,-9,-9, -10
 255,1816,0.052220,1,-9,-9, -10
 267,1816,0.002420,0,-9,-9, -99
 269,1816,0.003013,0,-9,-9, -10
 271,1816,0.002800,0,-9,-9,  -7
 273,1816,0.001732,0,-9,-9, -99
 275,1816,0.001687,0,-9,-9, -99
 300,1816,0.086052,1,-9,-9, -10
 325,1816,0.006969,0,-9,-9, -10
 327,1816,0.008974,0,-9,-9,  -9
 329,1816,0.029988,0,-9,-9, -10
 337,1816,0.001835,0,-9,-9, -10
 365,1816,0.164304,1,-9,-9, -10
 380,1816,0.024846,0,-9,-9,  -8
 390,1816,0.005036,0,-9,-9, -10
 640,1816,0.061359,0,-9,-9, -10
   2,1817,0.035817,0,-9,-9,   9
 200,1817,0.327987,1,-9,-9,  -2
 210,1817,0.040567,0,-9,-9,  -6
 220,1817,0.114489,1,-9,-9,  -4
 225,1817,0.001804,0,-9,-9, -99
 230,1817,0.042421,0,-9,-9,  -9
 235,1817,0.010747,0,-9,-9, -66
 245,1817,0.008160,0,-9,-9, -10
 255,1817,0.052354,1,-9,-9, -10
 267,1817,0.002526,0,-9,-9, -99
 269,1817,0.003160,0,-9,-9, -10
 271,1817,0.002668,0,-9,-9,  -7
 273,1817,0.001822,0,-9,-9, -99
 275,1817,0.001818,0,-9,-9, -99
 300,1817,0.093779,1,-9,-9, -10
 325,1817,0.009078,0,-9,-9, -10
 327,1817,0.008997,0,-9,-9,  -9
 329,1817,0.030041,0,-9,-9, -10
 337,1817,0.001862,0,-9,-9, -10
 365,1817,0.157399,1,-9,-9, -10
 380,1817,0.024501,0,-9,-9,  -8
 390,1817,0.005217,0,-9,-9, -10
 640,1817,0.062218,0,-9,-9, -10
   2,1818,0.036127,0,-9,-9,   9
 200,1818,0.329248,1,-9,-9,  -2
 210,1818,0.040478,0,-9,-9,  -6
 220,1818,0.115195,1,-9,-9,  -4
 225,1818,0.001794,0,-9,-9, -99
 230,1818,0.044030,0,-9,-9,  -9
 235,1818,0.010873,0,-9,-9, -66
 245,1818,0.008608,0,-9,-9,  -9
 255,1818,0.053028,1,-9,-9, -10
 267,1818,0.002633,0,-9,-9, -99
 269,1818,0.003298,0,-9,-9, -10
 271,1818,0.002720,0,-9,-9,  -7
 273,1818,0.001885,0,-9,-9, -99
 275,1818,0.001904,0,-9,-9, -99
 300,1818,0.090830,1,-9,-9, -10
 325,1818,0.009531,0,-9,-9, -10
 327,1818,0.009042,0,-9,-9,  -9
 329,1818,0.030109,0,-9,-9, -10
 337,1818,0.001906,0,-9,-9, -10
 365,1818,0.154213,1,-9,-9, -10
 380,1818,0.023778,0,-9,-9,  -8
 390,1818,0.005355,0,-9,-9, -10
 640,1818,0.063033,0,-9,-9, -10
   2,1819,0.037133,0,-9,-9,   9
 200,1819,0.317205,1,-9,-9,  -2
 210,1819,0.039386,0,-9,-9,  -6
 220,1819,0.124463,1,-9,-9,  -4
 225,1819,0.001777,0,-9,-9, -99
 230,1819,0.042777,0,-9,-9,  -9
 235,1819,0.010589,0,-9,-9, -66
 245,1819,0.008755,0,-9,-9,  -9
 255,1819,0.053746,1,-9,-9, -10
 267,1819,0.002509,0,-9,-9,  -7
 269,1819,0.003140,0,-9,-9, -10
 271,1819,0.002583,0,-9,-9,  -4
 273,1819,0.001763,0,-9,-9, -99
 275,1819,0.001805,0,-9,-9, -99
 300,1819,0.093058,1,-9,-9, -10
 325,1819,0.009310,0,-9,-9, -10
 327,1819,0.008955,0,-9,-9,  -9
 329,1819,0.030639,0,-9,-9, -10
 337,1819,0.001782,0,-9,-9, -10
 365,1819,0.151011,1,-9,-9, -10
 380,1819,0.024699,0,-9,-9,  -8
 390,1819,0.004921,0,-9,-9, -10
 640,1819,0.063784,0,-9,-9, -10
   2,1820,0.037087,0,-9,-9,   9
 200,1820,0.316531,1,-9,-9,  -2
 210,1820,0.040110,0,-9,-9,  -6
 220,1820,0.123343,1,-9,-9,  -4
 225,1820,0.001766,0,-9,-9, -99
 230,1820,0.042795,0,-9,-9,  -4
 235,1820,0.010268,0,-9,-9, -88
 245,1820,0.008474,0,-9,-9,  -9
 255,1820,0.052319,1,-9,-9, -10
 267,1820,0.002374,0,-9,-9,  -7
 269,1820,0.002955,0,-9,-9, -10
 271,1820,0.002483,0,-9,-9,  -4
 273,1820,0.001669,0,-9,-9, -99
 275,1820,0.001693,0,-9,-9, -99
 300,1820,0.093170,1,-9,-9, -10
 325,1820,0.009205,0,-9,-9, -10
 327,1820,0.008624,0,-9,-9,  -9
 329,1820,0.030715,0,-9,-9,  -6
 337,1820,0.001767,0,-9,-9, -10
 365,1820,0.160965,1,-9,-9, -10
 380,1820,0.021902,0,-9,-9,  -8
 390,1820,0.004498,0,-9,-9, -10
 640,1820,0.063836,0,-9,-9, -10
   2,1821,0.034173,0,-9,-9,   9
 200,1821,0.317341,1,-9,-9,  -2
 210,1821,0.038704,0,-9,-9,  -6
 220,1821,0.120443,1,-9,-9,  -4
 225,1821,0.001761,0,-9,-9, -99
 230,1821,0.034272,0,-9,-9,  -4
 235,1821,0.009983,0,-9,-9, -88
 245,1821,0.008219,0,-9,-9,  -9
 255,1821,0.049972,1,-9,-9, -10
 267,1821,0.002266,0,-9,-9,  -7
 269,1821,0.002912,0,-9,-9, -10
 271,1821,0.002422,0,-9,-9,  -4
 273,1821,0.001597,0,-9,-9, -99
 275,1821,0.001600,0,-9,-9, -99
 300,1821,0.098549,1,-9,-9, -10
 325,1821,0.010870,0,-9,-9, -10
 327,1821,0.008214,0,-9,-9,  -9
 329,1821,0.030733,0,-9,-9, -10
 337,1821,0.001795,0,-9,-9, -10
 365,1821,0.173888,1,-9,-9, -10
 380,1821,0.019933,0,-9,-9,  -8
 390,1821,0.004053,0,-9,-9, -10
 640,1821,0.063789,0,-9,-9, -10
   2,1822,0.033078,0,-9,-9,   9
 140,1822,0.000575,0,-9,-9, -99
 200,1822,0.311390,1,-9,-9,  -2
 210,1822,0.039266,0,-9,-9,  -6
 220,1822,0.132326,1,-9,-9,  -4
 225,1822,0.001750,0,-9,-9, -99
 230,1822,0.032529,0,-9,-9,  -4
 235,1822,0.010044,0,-9,-9, -88
 245,1822,0.008558,0,-9,-9,  -9
 255,1822,0.050800,1,-9,-9, -10
 267,1822,0.002210,0,-9,-9,  -7
 269,1822,0.002827,0,-9,-9, -10
 271,1822,0.002456,0,-9,-9,  -4
 273,1822,0.001560,0,-9,-9, -99
 275,1822,0.001552,0,-9,-9, -99
 300,1822,0.096491,1,-9,-9, -10
 325,1822,0.012034,0,-9,-9, -10
 327,1822,0.008478,0,-9,-9,  -9
 329,1822,0.030755,0,-9,-9, -10
 337,1822,0.002607,0,-9,-9, -10
 365,1822,0.173949,1,-9,-9, -10
 380,1822,0.020324,0,-9,-9,  -8
 390,1822,0.004089,0,-9,-9, -10
 640,1822,0.064177,0,-9,-9, -10
   2,1823,0.033249,0,-9,-9,   9
 140,1823,0.000562,0,-9,-9, -99
 200,1823,0.318077,1,-9,-9,  -2
 210,1823,0.039533,0,-9,-9,  -6
 220,1823,0.146752,1,-9,-9,  -4
 225,1823,0.001739,0,-9,-9, -99
 230,1823,0.030175,0,-9,-9,  -6
 235,1823,0.010522,0,-9,-9,  -3
 245,1823,0.008040,0,-9,-9,  -9
 255,1823,0.049364,1,-9,-9, -10
 267,1823,0.002384,0,-9,-9,  -7
 269,1823,0.003186,0,-9,-9, -10
 271,1823,0.002487,0,-9,-9,  -4
 273,1823,0.001669,0,-9,-9, -99
 275,1823,0.001688,0,-9,-9, -99
 300,1823,0.092496,1,-9,-9, -10
 325,1823,0.009267,0,-9,-9, -10
 327,1823,0.008816,0,-9,-9,  -9
 329,1823,0.031170,0,-9,-9, -10
 337,1823,0.001868,0,-9,-9, -10
 365,1823,0.156724,1,-9,-9, -10
 380,1823,0.019234,0,-9,-9,  -8
 390,1823,0.004653,0,-9,-9, -10
 640,1823,0.067151,0,-9,-9, -10
   2,1824,0.033123,0,-9,-9,   9
 140,1824,0.000548,0,-9,-9,  -6
 200,1824,0.329929,1,-9,-9,  -2
 210,1824,0.038843,0,-9,-9,  -6
 220,1824,0.137004,1,-9,-9,  -4
 225,1824,0.001734,0,-9,-9, -99
 230,1824,0.026977,0,-9,-9,  -6
 235,1824,0.010569,0,-9,-9,  -3
 245,1824,0.008146,0,-9,-9,  -9
 255,1824,0.048258,1,-9,-9, -10
 267,1824,0.002353,0,-9,-9,  -7
 269,1824,0.002767,0,-9,-9, -10
 271,1824,0.002484,0,-9,-9,  -4
 273,1824,0.001582,0,-9,-9, -99
 275,1824,0.001579,0,-9,-9, -99
